Kp,Ki,Kd,trial,error,slip
0.5,0.01,0.0,0,1.517907122951685,False
0.5,0.01,0.0,1,1.4226603548243224,False
0.5,0.01,0.0,2,1.4082769937914996,False
0.5,0.01,0.0,3,1.4082794564576229,False
0.5,0.01,0.0,4,1.6802819223261087,False
0.5,0.01,0.0,5,1.5585152093729364,False
0.5,0.01,0.0,6,1.3729788421097573,False
0.5,0.01,0.0,7,1.5247840065378948,False
0.5,0.01,0.0,8,1.479694340734905,False
0.5,0.01,0.0,9,1.1564079633013304,False
0.5,0.01,0.0,10,1.2914753319498364,False
0.5,0.01,0.0,11,1.490537099889291,False
0.5,0.01,0.0,12,1.663247315338233,False
0.5,0.01,0.0,13,1.4095335549270196,False
0.5,0.01,0.0,14,1.3617425913212227,False
0.5,0.01,0.0,15,1.4600383884564798,False
0.5,0.01,0.0,16,1.3533041965121793,False
0.5,0.01,0.0,17,1.3996459375310084,False
0.5,0.01,0.0,18,1.44137541628931,False
0.5,0.01,0.0,19,1.284743360656615,False
0.5,0.01,0.1,0,1.5487817368154784,False
0.5,0.01,0.1,1,1.2422734525043466,False
0.5,0.01,0.1,2,1.2261720926652355,False
0.5,0.01,0.1,3,1.4549291853803685,False
0.5,0.01,0.1,4,1.5361699869993115,False
0.5,0.01,0.1,5,1.4511052421784956,False
0.5,0.01,0.1,6,1.4080527576417639,False
0.5,0.01,0.1,7,1.3802344456616067,False
0.5,0.01,0.1,8,1.356304184356032,False
0.5,0.01,0.1,9,1.5839683339328374,False
0.5,0.01,0.1,10,1.4740125954092194,False
0.5,0.01,0.1,11,1.3676376579375524,False
0.5,0.01,0.1,12,2.675779121943007,True
0.5,0.01,0.1,13,1.5171514433261302,False
0.5,0.01,0.1,14,1.5595498495163143,False
0.5,0.01,0.1,15,1.5386496695867105,False
0.5,0.01,0.1,16,1.1991770065678775,False
0.5,0.01,0.1,17,1.590347046367723,False
0.5,0.01,0.1,18,1.6023574517051051,False
0.5,0.01,0.1,19,1.2906688090816483,False
0.5,0.01,0.2,0,1.3117255185226775,False
0.5,0.01,0.2,1,1.456029438245772,False
0.5,0.01,0.2,2,1.6917151379325208,False
0.5,0.01,0.2,3,1.5181271877989977,False
0.5,0.01,0.2,4,1.4076042414977197,False
0.5,0.01,0.2,5,1.4582703868787878,False
0.5,0.01,0.2,6,1.2545874312112895,False
0.5,0.01,0.2,7,1.623773742600913,False
0.5,0.01,0.2,8,1.387237531948974,False
0.5,0.01,0.2,9,1.2431419193778495,False
0.5,0.01,0.2,10,1.435575786743256,False
0.5,0.01,0.2,11,1.4033696808940415,False
0.5,0.01,0.2,12,1.5426172497287205,False
0.5,0.01,0.2,13,1.641127997939804,False
0.5,0.01,0.2,14,1.6731793200324663,False
0.5,0.01,0.2,15,1.4937329940932247,False
0.5,0.01,0.2,16,1.4289054725961166,False
0.5,0.01,0.2,17,1.4122261413800856,False
0.5,0.01,0.2,18,1.0691235928654792,False
0.5,0.01,0.2,19,1.5192276915833147,False
0.5,0.01,0.30000000000000004,0,1.6373404489800263,False
0.5,0.01,0.30000000000000004,1,1.54449086374734,False
0.5,0.01,0.30000000000000004,2,1.4279414787299105,False
0.5,0.01,0.30000000000000004,3,1.779993810798894,False
0.5,0.01,0.30000000000000004,4,1.5666173793232538,False
0.5,0.01,0.30000000000000004,5,1.3183743067014664,False
0.5,0.01,0.30000000000000004,6,1.58475215238245,False
0.5,0.01,0.30000000000000004,7,1.5045086079177978,False
0.5,0.01,0.30000000000000004,8,1.641063114915029,False
0.5,0.01,0.30000000000000004,9,1.5305457032891663,False
0.5,0.01,0.30000000000000004,10,1.6203731446279965,False
0.5,0.01,0.30000000000000004,11,1.5682929775083139,False
0.5,0.01,0.30000000000000004,12,1.4530995841064582,False
0.5,0.01,0.30000000000000004,13,1.6853711283833872,False
0.5,0.01,0.30000000000000004,14,1.7801807958817282,False
0.5,0.01,0.30000000000000004,15,1.7782488630237854,False
0.5,0.01,0.30000000000000004,16,1.495385127669501,False
0.5,0.01,0.30000000000000004,17,1.7078743912512928,False
0.5,0.01,0.30000000000000004,18,2.39949521069136,True
0.5,0.01,0.30000000000000004,19,1.7004384123453067,False
0.5,0.01,0.4,0,1.5720544429410843,False
0.5,0.01,0.4,1,1.8024388645952774,False
0.5,0.01,0.4,2,1.6139120061495644,False
0.5,0.01,0.4,3,1.6830907725691486,False
0.5,0.01,0.4,4,1.8534275826054505,False
0.5,0.01,0.4,5,1.5467703525349068,False
0.5,0.01,0.4,6,1.490277514815816,False
0.5,0.01,0.4,7,1.7590950787798456,False
0.5,0.01,0.4,8,1.7703824191372637,False
0.5,0.01,0.4,9,1.8486734307665966,False
0.5,0.01,0.4,10,1.8096912348425347,False
0.5,0.01,0.4,11,1.775947700984978,False
0.5,0.01,0.4,12,1.6293962917632265,False
0.5,0.01,0.4,13,1.7662380545741505,False
0.5,0.01,0.4,14,1.9156135238781615,True
0.5,0.01,0.4,15,1.624247287296045,False
0.5,0.01,0.4,16,1.88880210884813,False
0.5,0.01,0.4,17,1.93016584922713,False
0.5,0.01,0.4,18,1.6187230863004107,False
0.5,0.01,0.4,19,1.5618357920319206,False
0.5,0.01,0.5,0,2.0170729366084674,False
0.5,0.01,0.5,1,2.0944803377443013,False
0.5,0.01,0.5,2,1.7479193414925553,False
0.5,0.01,0.5,3,1.837632887576011,False
0.5,0.01,0.5,4,2.085201032228634,False
0.5,0.01,0.5,5,1.9174608237709283,False
0.5,0.01,0.5,6,2.363563323859261,False
0.5,0.01,0.5,7,1.9674648145227918,False
0.5,0.01,0.5,8,2.6385226851262997,True
0.5,0.01,0.5,9,2.0999770001219606,False
0.5,0.01,0.5,10,4.028299348066634,True
0.5,0.01,0.5,11,2.0605000741138135,False
0.5,0.01,0.5,12,1.8855306651482995,False
0.5,0.01,0.5,13,2.069957469235541,False
0.5,0.01,0.5,14,1.814493007118278,False
0.5,0.01,0.5,15,1.8764552023546566,False
0.5,0.01,0.5,16,2.047911240790151,False
0.5,0.01,0.5,17,2.217840620845484,False
